"year","rep","scenario","GEI","stage","mean_gv_tpe","mean_gv_met","var_gv_tpe","var_gv_met","acc_tpe","acc_met","met_tpe"
3,1,"Pheno","Moderate","HDRW",-0.0374497989216023,0.0458205678366531,0.59210788013,0.729387503346995,0.287774821205115,0.198740240605891,0.697421381035192
4,1,"Pheno","Moderate","HDRW",0.0656072616928737,0.0785927397658127,0.554059782077919,0.240119146221672,0.180192803552729,0.157605322499009,0.881850658746799
5,1,"Pheno","Moderate","HDRW",0.230419474596154,0.145293140971615,0.526630107406741,0.249118168514902,0.169344816379996,0.114380550263096,0.69038509610657
6,1,"Pheno","Moderate","HDRW",0.29361665432409,0.100719403459664,0.457358513389188,1.20247114774707,0.363848483427567,0.237909318657376,0.676015298945292
7,1,"Pheno","Moderate","HDRW",0.248555989175387,0.217674376776591,0.428678190011434,0.58465613259371,0.258877069605739,0.218903145376527,0.851661981945602
8,1,"Pheno","Moderate","HDRW",0.170170263993965,0.49523529116712,0.466429934222503,2.87377275240318,0.516848303685247,0.320099913314979,0.650630887460713
9,1,"Pheno","Moderate","HDRW",0.283394656331848,-0.0390328797188682,0.590141010660354,0.636262003549356,0.27822817779514,0.150607204076871,0.585420075731698
10,1,"Pheno","Moderate","HDRW",0.270978629315714,0.216852806444419,0.572749299304708,0.243075783071547,0.17817089051381,0.122430161417499,0.704875367824003
11,1,"Pheno","Moderate","HDRW",0.225833629800599,0.717446148930308,0.457892894743574,3.47976871963897,0.547755458771143,0.40584890012201,0.753146665554227
12,1,"Pheno","Moderate","HDRW",0.271326065143549,0.146534472807827,0.382684524518595,0.504464840932054,0.250572368644221,0.157864204119386,0.652502305588139
13,1,"Pheno","Moderate","HDRW",0.550995272847299,0.0574876049142622,0.358681215977365,2.43956050435833,0.481207693373206,0.28488053616498,0.593230039844869
14,1,"Pheno","Moderate","HDRW",0.556236597617423,0.87942411901843,0.382214677251254,1.97508736379379,0.442945917845043,0.224979465030139,0.513977407137073
15,1,"Pheno","Moderate","HDRW",0.686961682060132,0.558828308338392,0.408573404528655,0.910203559166867,0.319569411344856,0.238331551439851,0.723182346322171
16,1,"Pheno","Moderate","HDRW",0.64377688126278,1.11347665204992,0.528534318280125,3.33929424597712,0.535086097713348,0.42147781396798,0.807338501689954
17,1,"Pheno","Moderate","HDRW",0.758955645699608,0.544187656861381,0.577052386274696,0.608113781315097,0.254186021115611,0.145201034674158,0.56618749393338
18,1,"Pheno","Moderate","HDRW",0.688659793184479,0.425627771226893,0.577547446152046,0.755183010423136,0.294339773008472,0.200133978466862,0.697270735314514
19,1,"Pheno","Moderate","HDRW",0.770143482644151,0.430080561613465,0.455504363347509,0.963473375991648,0.321561612929487,0.0897653295122952,0.313924670284403
20,1,"Pheno","Moderate","HDRW",0.711568415286264,0.727268684558128,0.372695749770064,0.344259213781729,0.19674001355834,0.13183984848832,0.663625354228726
1,1,"Pheno","Moderate","PYT",0.253945091067091,0.198038015950026,0.444939945913518,0.864886511942586,0.590993810662678,0.481366678693929,0.749864648131123
2,1,"Pheno","Moderate","PYT",0.398851605567956,0.888246155964944,0.415222476087508,1.39593061178499,0.638377745957481,0.563616291315554,0.869101244719726
